Category,Subject,Role
"Изкуствен интелект, машинно обучение и наука за данни",Алгебра 1,"Матричните операции захранват невронните мрежи, обработката на изображения и изчисленията, ускорени от графичен процесор."
"Изкуствен интелект, машинно обучение и наука за данни",Алгебра 1,"От съществено значение за тензорни операции, изчисляване на градиенти при обратно разпространение и трансформиране на пространства от характеристики."
"Изкуствен интелект, машинно обучение и наука за данни",Алгебра 2,"Използва се в PCA, SVD, вграждания и намаляване на размерността в мащабни ML системи."
"Изкуствен интелект, машинно обучение и наука за данни",Алгебра 2,"Прилага се в анализ на сложни мрежи, съвместно филтриране в препоръчителни системи и тематично моделиране."
"Изкуствен интелект, машинно обучение и наука за данни",Анализ на данните с Python,"Стандартният набор от инструменти (Pandas, NumPy) за обработка, почистване и подготовка на данни за машинно обучение."
"Изкуствен интелект, машинно обучение и наука за данни",Анализ на данните с Р,"Широко използван в биоинформатиката, академичните изследвания и напредналото статистическо изобразяване."
"Изкуствен интелект, машинно обучение и наука за данни",Бази от данни,"Поддържа канали за данни, съхранение на функции и заявки към мащабни набори от данни."
"Изкуствен интелект, машинно обучение и наука за данни",Бази от данни,"Критично важно за изграждането на масивни хранилища за характеристики, ефективни векторни бази данни за LLM и складове за данни."
"Изкуствен интелект, машинно обучение и наука за данни",Бейсов анализ на данните,"Прилага се в вероятности за медицински диагнози, филтриране на спам и модели за последователно вземане на решения."
"Изкуствен интелект, машинно обучение и наука за данни",Вероятности и статистика,"Използва се в A/B тестване, вероятностни модели, филтриране на спам и оценка на неопределеността."
"Изкуствен интелект, машинно обучение и наука за данни",Вероятности и статистика,"Тестване от основно към A/B, Байесов извод, обработка на естествен език (вериги на Марков) и генеративни модели."
"Изкуствен интелект, машинно обучение и наука за данни",Визуализация на данни,Прилага се при създаването на интерактивни табла за управление (Tableau/PowerBI) и преобразуването на сложни модели в бизнес анализи.
"Изкуствен интелект, машинно обучение и наука за данни",Времеви редове,"От решаващо значение за алгоритмична търговия, прогнозиране на времето и прогнозиране на натоварването на сървъра във времето."
"Изкуствен интелект, машинно обучение и наука за данни",Диференциално и интегрално смятане 1,Използва се в градиентна оптимизация за модели за обучение и настройване на мащабни системи.
"Изкуствен интелект, машинно обучение и наука за данни",Диференциално и интегрално смятане 1,"Използва се за извеждане на функции на разходите, разбиране на локалните минимуми/максимуми и формулиране на активиращи функции."
"Изкуствен интелект, машинно обучение и наука за данни",Диференциално и интегрално смятане 2,Обратното разпространение и оптимизацията за дълбоко обучение разчитат на многофакторно смятане.
"Изкуствен интелект, машинно обучение и наука за данни",Диференциално и интегрално смятане 2,"Жизненоважно за матрици на Хес, методи за оптимизация от втори ред (като метода на Нютон) и усъвършенствани функции на плътност на вероятностите."
"Изкуствен интелект, машинно обучение и наука за данни",Дълбоко обучение с Tensorflow,"Използва се за изграждане на най-съвременни LLM, проследяване на обекти в реално време и агенти за дълбоко обучение с подсилване."
"Изкуствен интелект, машинно обучение и наука за данни",Извличане на закономерности от данни (Data Mining),"Прилага се в анализ на пазарната кошница, откриване на измами и идентифициране на аномалии в големи регистрационни файлове на транзакции."
"Изкуствен интелект, машинно обучение и наука за данни",Изкуствен интелект,"Използва се в системи за препоръки, класиране в търсачките, чатботове и системи за автономно вземане на решения."
"Изкуствен интелект, машинно обучение и наука за данни",Изкуствен интелект,"Прилага се в автономни превозни средства, прогнозна поддръжка в производството и автоматизирана медицинска диагностика."
"Изкуствен интелект, машинно обучение и наука за данни",Логическо програмиране,"Използва се в системи, базирани на правила, семантично разсъждение и графи на знания."
"Изкуствен интелект, машинно обучение и наука за данни",Логическо програмиране,"Използва се в експертни системи, графи на знания и автоматизирано доказване на теореми в символния изкуствен интелект."
"Изкуствен интелект, машинно обучение и наука за данни",Машинно самообучение,"Основно за разработването на предсказващи модели, от филтри за спам до предсказващ текст и модели за отлив на клиенти."
"Изкуствен интелект, машинно обучение и наука за данни",Многомерни статистически модели,"Използва се за анализ на данни от проучвания, геномика и идентифициране на латентни променливи в сложни набори от данни."
"Изкуствен интелект, машинно обучение и наука за данни",Невронни мрежи,"Поддържа усъвършенствано компютърно зрение, разпознаване на глас (като Siri/Alexa) и анализ на медицински изображения."
"Изкуствен интелект, машинно обучение и наука за данни",Основи на анализа на данните,"От съществено значение за първоначално проучване на данни, почистване на данни и идентифициране на основни тенденции в наборите от данни."
"Изкуствен интелект, машинно обучение и наука за данни",Системи за анализ и обработка на големи данни,Включва използването на Hadoop или Spark за обработка на петабайти данни за корпоративни анализи.
"Изкуствен интелект, машинно обучение и наука за данни",Теория на вероятностите,"Формира основата на прогнозното моделиране, оценката на риска и разбирането на неопределеността в алгоритмите."
"Изкуствен интелект, машинно обучение и наука за данни",Увод в статистиката,"Използва се за разбиране на разпределенията, тестване на хипотези и основни показатели за A/B тестване."
"Изкуствен интелект, машинно обучение и наука за данни",Числен анализ,"Осигурява числена стабилност в ML системи (напр. избягване на препълване, обработка на ограничения на точността)."
"Изкуствен интелект, машинно обучение и наука за данни",Числен анализ,Използва се за осигуряване на стабилност на числа с плаваща запетая при изчисления на загуби в дълбоко обучение и оптимизиране на алгоритми с разредени матрици.
Биоинформатика и компютърна биология,Алгебра 1,Използва се в графово-базираното сглобяване на геноми и моделирането на биологични данни.
Биоинформатика и компютърна биология,Алгебра 1,"Прилага се в анализа на данни от микрочипове, представяйки мрежи от взаимодействия и трансформации в структурната биология."
Биоинформатика и компютърна биология,Биостатистика,"От съществено значение за проектиране на клинични изпитвания, епидемиологично моделиране (като разпространението на COVID-19) и модели на генетично наследяване."
Биоинформатика и компютърна биология,Вероятности и статистика,"Използва се в ДНК анализ, моделиране на мутации и подравняване на последователности."
Биоинформатика и компютърна биология,Вероятности и статистика,"Използва се в GWAS (Genome-Wide Association Studies), моделиране на честотата на мутации и скрити модели на Марков за предсказване на гени."
Биоинформатика и компютърна биология,Числен анализ,Използва се в мащабни биологични симулации.
Биоинформатика и компютърна биология,Числен анализ,"От решаващо значение за симулации на молекулярна динамика, минимизиране на енергията на сгъване на протеини и епидемиологични диференциални уравнения."
Проектиране на компилатори и теория на PL,Дискретни структури,Графиките на контролния поток и теорията на графите се използват в оптимизациите на компилаторите и инструментите за статичен анализ на сигурността.
Проектиране на компилатори и теория на PL,Дискретни структури,Подкрепя генерирането на машини на състоянията в лексери и решавачи на булева изпълнимост (SAT) за разрешаване на зависимости.
Проектиране на компилатори и теория на PL,"Езици, автомати и изчислимост","Крайните автомати захранват механизмите за регулярни изрази (grep, IDE търсене), докато парсерите се използват в компилатори, линтери и JSON/XML валидатори."
Проектиране на компилатори и теория на PL,"Езици, автомати и изчислимост","Използва се за изграждане на конвейери за обработка на текст, анализатори на лог файлове и персонализирани езици за заявки."
Проектиране на компилатори и теория на PL,Компютърни архитектури,"Използва се при оптимизиране на код за SIMD инструкции, разбиране на поведението на кеша и изграждане на JIT компилатори (напр. JVM, V8)."
Проектиране на компилатори и теория на PL,Компютърни архитектури,"Помага за разбирането на хардуерните ограничения, влиянието на предвиждането на разклонения върху кода и разработването на вградени системи."
Проектиране на компилатори и теория на PL,Семантика на езиците за програмиране,"Прилага се при проектирането на DSL, статични анализатори и налагане на коректност в типови системи като TypeScript или Rust."
Проектиране на компилатори и теория на PL,Семантика на езиците за програмиране,"От решаващо значение за официалната проверка на критични софтуерни системи, осигурявайки безопасността и коректността на интелигентните договори."
Проектиране на компилатори и теория на PL,Структури от данни и програмиране,"AST и таблиците със символи се използват в компилатори, IDE системи за автоматично довършване и инструменти за рефакторинг."
Проектиране на компилатори и теория на PL,Структури от данни и програмиране,От съществено значение за изграждането на ефективни системи за кеширане и междинни представяния в съвременните LLVM/GCC компилатори.
Финанси и количествени системи,Алгебра 1,Използва се в оптимизация на портфолио и факторни модели.
Финанси и количествени системи,Алгебра 1,"От съществено значение за оптимизация на портфолио със средна дисперсия, корелационни матрици и идентификация на произволен арбитраж."
Финанси и количествени системи,Вероятности и статистика,"Използва се в моделиране на риска, откриване на измами и симулации по метода на Монте Карло."
Финанси и количествени системи,Вероятности и статистика,"Моделиране на съотношението „ядро“ към „стойност под риск“ (VaR), алгоритми за кредитен скоринг и стохастично смятане за ценообразуване на деривати."
Финанси и количествени системи,Диференциално и интегрално смятане 1,Използва се в модели за ценообразуване на опции и финансови деривати.
Финанси и количествени системи,Диференциално и интегрално смятане 1,"Използва се за изчисляване на „гръцките“ (делта, гама) коефициенти за чувствителност на опции и модели с непрекъснато начисляване на лихвени проценти."
Финанси и количествени системи,Макроикономика І,"Помага за разбирането на лихвените проценти, инфлационните модели и как политиките на централната банка влияят върху количествената търговия."
Финанси и количествени системи,Математически увод в икономиката,"Прилага се при изграждането на макроикономически модели, разбирането на еластичността и основните системи за пазарно равновесие."
Финанси и количествени системи,Увод в актюерството,"Използва се от застрахователните компании за изчисляване на премии, оценка на рисковете, свързани с продължителността на живота, и моделиране на пенсионни фондове."
Финанси и количествени системи,Числен анализ,Използва се за бързи приближения в търговските системи.
Финанси и количествени системи,Числен анализ,Прилага се в методи с крайни разлики за решаване на диференциално уравнение в частни производни на Блек-Шоулс и бързо ценообразуване на опции с биномиално дърво.
Разработка на игри и компютърна графика,Алгебра 1,Използва се за трансформации при рендиране на тръбопроводи и манипулиране на координатни системи.
Разработка на игри и компютърна графика,Алгебра 1,"Използва се за кватерниони, за да се предотврати заключване на карданния окачване, преместване/завъртане на обекти и матрици за проекция на камера."
Разработка на игри и компютърна графика,Алгебра 2,"Използва се в скелетна анимация, обратна кинематика и процедурни анимационни системи."
Разработка на игри и компютърна графика,Алгебра 2,Използва се в сложно такелажно моделиране на персонажи (обратна кинематика) и симулиране на деформируеми тела.
Разработка на игри и компютърна графика,Геометрия,"Използва се при откриване на сблъсъци, проследяване на лъчи, системи от камери и пространствено разделяне."
Разработка на игри и компютърна графика,Геометрия,"Използва се в алгоритми за откриване на сблъсъци, пресечни точки с проследяване на лъчи и генериране на нива на детайлност (LOD)."
Разработка на игри и компютърна графика,Диференциално и интегрално смятане 1,"Използва се във физични двигатели за моделиране на движение, скорост и ускорение."
Разработка на игри и компютърна графика,Диференциално и интегрално смятане 1,"Основно за моделиране на непрекъснато движение, прилагане на сили и симулиране на реалистични дъги на скок."
Разработка на игри и компютърна графика,Диференциално и интегрално смятане 2,"Използва се в напреднали симулации като флуиди, платове и физика на меки тела."
Разработка на игри и компютърна графика,Диференциално и интегрално смятане 2,"Използва се за реалистични симулации на флуиди и дим, както и за изчисляване на нормали на повърхности и уравнения за осветление."
Разработка на игри и компютърна графика,Обектно-ориентирано програмиране,Използва се за структуриране на игрови енджини и системи от обектни компоненти.
Разработка на игри и компютърна графика,Обектно-ориентирано програмиране,"От съществено значение за системи от обектни компоненти (ECS), управление на състоянието на играта и отделяне на логиката на играта от рендерирането."
Разработка на игри и компютърна графика,Основи на компютърната графика,"Използва се в рендеринг конвейери, програмиране на шейдъри и графични системи, базирани на GPU."
Разработка на игри и компютърна графика,Основи на компютърната графика,"Прилага се във виртуална реалност (VR), програмиране на шейдъри и процедурно генериране на текстури."
Разработка на игри и компютърна графика,Системи за паралелна обработка,Използва се в GPU конвейери и многонишкови системи за рендиране.
Разработка на игри и компютърна графика,Системи за паралелна обработка,"От решаващо значение за многонишкови физични двигатели, асинхронно зареждане на ресурси и използване на шейдъри за графични процесори."
Оперативни изследвания и оптимизация,Вероятности и статистика,"Използва се в системи за моделиране на риска, прогнозиране и опашки."
Оперативни изследвания и оптимизация,Вероятности и статистика,"От съществено значение за теорията на опашките, анализа на риска по метода на Монте Карло и прогнозирането на стохастично търсене."
Оперативни изследвания и оптимизация,Дизайн и анализ на алгоритми,"Използва се в намирането на пътища, системи за маршрутизиране и оптимизация на мрежи."
Оперативни изследвания и оптимизация,Дизайн и анализ на алгоритми,"Използва се за внедряване на ефективни алгоритми за мрежов поток, евристики на пътуващи търговци и динамично програмиране."
Оперативни изследвания и оптимизация,Изследване на операциите,"Използва се в системи за оптимизация на логистиката, планиране и разпределение на ресурси."
Оперативни изследвания и оптимизация,Изследване на операциите,"Прилага се в оптимизация на веригата за доставки, планиране на работата на екипажите на авиокомпании, динамично ценообразуване и системи за управление на запасите."
Оперативни изследвания и оптимизация,Линейно оптимизиране,"Използва се в логистиката за оптимизиране на маршрути, производството за смесване на ресурси и минимизиране на транспортните разходи."
Оперативни изследвания и оптимизация,Нелинейно оптимизиране,"Прилага се при обучение на дълбоки невронни мрежи, оптимизация на портфолио във финансите и аеродинамичен дизайн."
Оперативни изследвания и оптимизация,Планиране на експеримента,"Използва се в индустриалното инженерство и фармацевтиката за определяне на минималния брой опити, необходими за получаване на валидни резултати."
Оперативни изследвания и оптимизация,Числен анализ,Използва се за апроксимиране на сложни системи и симулационни модели.
Оперативни изследвания и оптимизация,Числен анализ,"От решаващо значение за целочислени линейни решавачи на задачи, методи за вътрешни точки и прецизна оптимизация."
Квантови изчисления,Алгебра 1,"Кубитите са представени като вектори, а квантовите порти като матрици в хилбертови пространства."
Квантови изчисления,Алгебра 1,"Описва квантова суперпозиция, еднокубитови гейтове и измерване на състояния, използвайки векторни пространства."
Квантови изчисления,Алгебра 2,"Използва се в унитарни трансформации, тензорни произведения и усъвършенствана манипулация на квантови състояния."
Квантови изчисления,Алгебра 2,"Използва се за разбиране на многокубитово заплитане, тензорни произведения и сложни унитарни трансформации."
Квантови изчисления,Вероятности и статистика,Резултатите от измерванията са вероятностни и изискват статистическа интерпретация.
Квантови изчисления,Вероятности и статистика,"Фундаментално за интерпретиране на резултатите от квантовите измервания, процентите на грешки и моделите на квантов шум."
Квантови изчисления,Дискретни структури,Теорията на числата е в основата на квантови алгоритми като алгоритъма на Шор.
Квантови изчисления,Дискретни структури,"Използва се в кодове за квантова корекция на грешки, алгоритми за квантово блуждаене и дискретно картографиране на квантови състояния."
Роботика и системи за управление,Алгебра 1,Използва се в координатни трансформации и кинематика на роботи.
Роботика и системи за управление,Алгебра 1,От решаващо значение за изчисляване на директна/обратна кинематика и преход между ставни и декартови координатни пространства.
Роботика и системи за управление,Геометрия,"Използва се в пространственото мислене, планирането на движението и избягването на сблъсъци."
Роботика и системи за управление,Геометрия,"Използва се в пространственото мислене, картографирането за избягване на препятствия (SLAM) и анализа на 3D данни от облаци от точки от LIDAR."
Роботика и системи за управление,Диференциално и интегрално смятане 1,"Използва се в системи за управление, като PID контролери, за стабилност на движението."
Роботика и системи за управление,Диференциално и интегрално смятане 1,От съществено значение за проектирането на PID контролери за поддържане на стабилността на дрона и анализ на скоростта на промяна в обратната връзка от сензорите.
Роботика и системи за управление,Числен анализ,Използва се в изчисления в реално време за роботизирани системи.
Роботика и системи за управление,Числен анализ,"Прилагани в оптимизация на траекторията в реално време, филтрите на Калман за сливане на сензори и дискретизация на законите за управление."
Научни изчисления и симулации,Аналитична механика,"Използва се при разработването на физически игрови двигатели, кинематика на роботизирани ръце и симулации на траектории на космически полети."
Научни изчисления и симулации,Диференциално и интегрално смятане 1,"Използва се при моделиране на физически системи като движение, топлина и флуиди."
Научни изчисления и симулации,Диференциално и интегрално смятане 1,"Основополагащ за дефиниране на диференциалните уравнения, които управляват динамиката на флуидите, топлопреноса и астрофизиката."
Научни изчисления и симулации,Уравнения на математическата физика,"Основно за моделиране на разпространението на топлина, вълновата механика и квантовите вълнови функции в съвременните физични двигатели."
Научни изчисления и симулации,Числени методи на линейната алгебра,Прилага се при решаване на масивни системи от уравнения в строителното инженерство или оптимизиране на алгоритмите за PageRank на търсачките.
Обработка на сигнали и телекомуникации,Алгебра 1,Използва се при преобразувания на Фурие и разлагане на сигнала на честотни компоненти.
Обработка на сигнали и телекомуникации,Алгебра 1,"Използва се в MIMO моделиране на комуникационни канали, разлагане на собствени стойности и филтриране на сигнали."
Обработка на сигнали и телекомуникации,Вероятности и статистика,Използва се за моделиране на шум и оценка на надеждността на сигнала.
Обработка на сигнали и телекомуникации,Вероятности и статистика,"Прилага се в моделирането на шума в каналите, теорията на информацията (ентропията на Шанън) и скоростите на откриване/корекция на грешки."
Обработка на сигнали и телекомуникации,Диференциално и интегрално смятане 1,Използва се за моделиране на непрекъснати сигнали и операции по филтриране.
Обработка на сигнали и телекомуникации,Диференциално и интегрално смятане 1,"Жизненоважно за изчисляване на енергиите на сигналите, прилагане на непрекъснати преобразувания на Фурие и разбиране на честотната лента."
Обработка на сигнали и телекомуникации,Числен анализ,Използва се за ефективни FFT реализации и стабилни алгоритми за обработка на сигнали.
Обработка на сигнали и телекомуникации,Числен анализ,"Използва се за бързи дискретни преобразувания на Фурие (FFT), проектиране на цифрови филтри и ефективни алгоритми за компресия на аудио."
Софтуерно инженерство и архитектура,Анализ на софтуерните изисквания,Жизненоважно за превръщането на бизнес нуждите в технически спецификации и създаването на потребителски истории за инженерните екипи.
Софтуерно инженерство и архитектура,Дизайн и анализ на алгоритми,Използва се за оптимизиране на приложения с критично значение за производителността и мащабни системи.
Софтуерно инженерство и архитектура,Дизайн и анализ на алгоритми,"Жизненоважно за оптимизиране на бавните затруднения в приложенията, ефективно търсене на текст (Elasticsearch) и бърза синхронизация на данни."
Софтуерно инженерство и архитектура,Обектно-ориентирани шаблони за дизайн,"Използва се за надеждно решаване на често срещани проблеми със софтуерната архитектура (напр. Singleton, Observer, Factory patterns)."
Софтуерно инженерство и архитектура,Обектно-ориентирано програмиране,Използва се в корпоративни системи и модулен софтуерен дизайн.
Софтуерно инженерство и архитектура,Обектно-ориентирано програмиране,"Използва се за разработване на мащабни корпоративни приложения, дефиниране на ORM модели и организиране на сложна домейн логика."
Софтуерно инженерство и архитектура,Потребителско изживяване и дизайн на софтуерни продукти (UX/UI),"Прилага се в интерфейси за wireframing, провеждане на потребителски тестове и осигуряване на достъпен софтуерен дизайн."
Софтуерно инженерство и архитектура,Софтуерни архитектури,"Използва се в системния дизайн, дизайна, управляван от домейн, и мащабните поддържаеми системи."
Софтуерно инженерство и архитектура,Софтуерни архитектури,"Решаващо за прилагането на дизайнерски модели, дизайн, управляван от домейн (DDD), и поддържането на чисти, тестваеми кодови бази."
Софтуерно инженерство и архитектура,Софтуерни технологии,"Използва се в CI/CD конвейери, рамки за тестване, контрол на версиите и DevOps практики."
Софтуерно инженерство и архитектура,Софтуерни технологии,"Използва се при внедряването на CI/CD тръбопроводи, инфраструктура като код (Terraform) и надеждни системи за мониторинг/предупреждение."
Софтуерно инженерство и архитектура,Структури от данни и програмиране,"Използва се в бекенд логика, кеширащи системи и ефективна обработка на данни."
Софтуерно инженерство и архитектура,Структури от данни и програмиране,"Използва се при избор между списъци и множества за производителност, изграждане на персонализирани итератори и управление на разпределението на паметта."
Софтуерно инженерство и архитектура,Съвременни DevOps практики,"От решаващо значение за автоматизиране на внедряването на инфраструктура (Docker, Kubernetes) и поддържане на стабилни CI/CD канали."
Софтуерно инженерство и архитектура,Увод в програмирането,"Използва се в скриптове, автоматизация и изграждане на прости помощни програми."
Софтуерно инженерство и архитектура,Увод в програмирането,"Основата за четене на стар код, адаптиране на нови разработчици и установяване на солидни конвенции за кодиране."
Софтуерно инженерство и архитектура,Увод в софтуерното инженерство,"Полага основите за гъвкави методологии, SDLC (Жизнен цикъл на разработка на софтуер) и основно версиране на код."
Софтуерно инженерство и архитектура,Управление на качество,"Основно за проектирането на QA процеси, рамки за автоматизирано тестване (Selenium) и стандарти за непрекъсната интеграция."
Софтуерно инженерство и архитектура,Управление на софтуерни проекти,"Използва се при планиране на спринтове, разпределение на ресурси и проследяване на етапи на проекта с помощта на Jira или подобни инструменти."
Софтуерно инженерство и архитектура,Функционално програмиране,"Използва се в реактивни системи, програмиране, безопасно за паралелизъм, и трансформации на данни."
Софтуерно инженерство и архитектура,Функционално програмиране,"Прилага се при изграждането на стабилни едновременни системи (напр. Erlang/Elixir), реактивни UI рамки (React) и управление на непроменливо състояние."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Компютърни архитектури,"Използва се за оптимизация на производителността, програмиране с кеш-съзнание и ефективност на ниско ниво."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Компютърни архитектури,"Критично важно за разработването на зареждащи машини, оптимизиране на кеш линиите за предотвратяване на фалшиво споделяне и проектиране на многоядрени планировчици."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Мрежово програмиране,"Използва се в системи за реално време, програмиране на сокети и разпределена комуникация."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Мрежово програмиране,Решаващо за изграждането на нисколатентна междупроцесна комуникация (IPC) и персонализирани протоколи за високопроизводителни изчислителни клъстери.
"Системно инженерство, операционни системи и високопроизводителни изчисления",Облачни технологии и архитектури,"От съществено значение за мигриране на локални сървъри към AWS/Azure и проектиране на мащабируеми, отказоустойчиви облачни решения."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Операционни системи,"Използва се в планирането на процеси, управлението на паметта, контейнеризацията и настройката на сървъри."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Операционни системи,"Фундаментални за разработка на хипервизор, изграждане на контейнерни среди за изпълнение (Docker) и RTOS в реално време за IoT."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Основи на информационната сигурност,"От решаващо значение за предотвратяване на SQL инжекции, настройване на защитни стени и управление на SSL/TLS сертификати."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Системи за паралелна обработка,"Използва се в разпределени системи, HPC натоварвания и паралелни изчислителни рамки."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Системи за паралелна обработка,"Използва се в MPI за суперкомпютри, анализ на геномни последователности и симулиране на мащабни метеорологични модели."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Системно програмиране,"Използва се в ядра на операционни системи, вградени системи и софтуер, критичен за производителността, като бази данни."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Системно програмиране,"Прилага се при писане на драйвери за устройства, разработване на платформи за високочестотна търговия и изграждане на бързи персонализирани мрежови стекове."
"Системно инженерство, операционни системи и високопроизводителни изчисления",Софтуер за научни изчисления,"Прилага се при изпълнение на високосложни физични симулации, флуидна динамика или структурен анализ (напр. MATLAB, Mathematica)."
Теоретична компютърна грамотност и криптография,Алгебра 1,Използва се в криптографски примитиви и кодове за коригиране на грешки.
Теоретична компютърна грамотност и криптография,Алгебра 1,"Прилага се в основите на RSA алгоритмите, модулната аритметика и изграждането на защитени механизми за обмен на ключове."
Теоретична компютърна грамотност и криптография,Алгебра 2,Използва се в криптография с елиптични криви и системи с нулево знание.
Теоретична компютърна грамотност и криптография,Алгебра 2,"Използва се широко в криптографията с елиптични криви (ECC) и усъвършенстваната постквантова криптография, базирана на решетка."
Теоретична компютърна грамотност и криптография,Дискретна математика,"Основополагащ за графови алгоритми (намиране на път), комбинаторика и структури за индексиране на бази данни."
Теоретична компютърна грамотност и криптография,Дискретни структури,"Използва се в криптографията, блокчейн системите и алгоритмите за сигурно хеширане."
Теоретична компютърна грамотност и криптография,Дискретни структури,"Използва се в доказателства с нулево знание, дефиниране на крайни полета за криптиране и създаване на хеш функции."
Теоретична компютърна грамотност и криптография,"Езици, автомати и изчислимост",Използва се при проверка на протоколи и моделиране на защитена комуникация.
Теоретична компютърна грамотност и криптография,"Езици, автомати и изчислимост",Решаващо за официалното доказване на коректността на протокола и дефинирането на надеждни граматически спецификации за нови езици.
Теоретична компютърна грамотност и криптография,Елементи от теорията на информацията,"От решаващо значение за алгоритмите за компресиране на данни (ZIP, JPEG) и определянето на теоретичните граници на комуникационните канали."
Теоретична компютърна грамотност и криптография,Изчислимост и сложност,Използва се за оценка на осъществимостта на алгоритъма и криптографската сила.
Теоретична компютърна грамотност и криптография,Изчислимост и сложност,"Използва се за определяне на теоретичните граници на алгоритмите, доказване на граници на криптографска сигурност и P срещу NP импликации."
Теоретична компютърна грамотност и криптография,Комплексен анализ,"Прилага се в динамиката на флуидите, квантовата механика и електротехниката за вериги с променлив ток (AC)."
Теоретична компютърна грамотност и криптография,Теория на множеството,Използва се при формална проверка и разсъждения относно коректността на програмата.
Теоретична компютърна грамотност и криптография,Теория на множеството,"Фундаментални елементи за теорията на релационните бази данни, формалните верификационни логики и доказването на свойствата на безкрайните състояния."
"Уеб, мрежово инженерство и разпределени системи",Уеб технологии,"Използва се във фронтенд рамки, REST API, системи за удостоверяване и рендиране в браузър."
"Уеб, мрежово инженерство и разпределени системи",Уеб технологии,"Ядро за изграждане на прогресивни уеб приложения (PWA), WebAssembly (Wasm) модули и headless CMS архитектури."
"Уеб, мрежово инженерство и разпределени системи",Бази от данни,"Използва се при индексиране, кеширане, репликация и мащабиране на разпределени системи с данни."
"Уеб, мрежово инженерство и разпределени системи",Бази от данни,"От съществено значение за внедряване на разпределено кеширане (Redis), NoSQL хранилища за документи (MongoDB) и логика за шардиране."
"Уеб, мрежово инженерство и разпределени системи",Компютърни мрежи,"Използва се за отстраняване на грешки при латентност, конфигуриране на инфраструктура и оптимизиране на мрежовата комуникация."
"Уеб, мрежово инженерство и разпределени системи",Компютърни мрежи,"От решаващо значение за проектирането на мрежи за доставяне на съдържание (CDN), конфигурирането на SDN (софтуерно дефинирани мрежи) и модели за сигурност с нулево доверие."
"Уеб, мрежово инженерство и разпределени системи",Мрежово програмиране,"Използва се в бекенд услуги, WebSockets и системи за комуникация в реално време."
"Уеб, мрежово инженерство и разпределени системи",Мрежово програмиране,Използва се при разработването на WebRTC приложения за видеоконферентна връзка и обратни прокси сървъри за балансиране на натоварването.
"Уеб, мрежово инженерство и разпределени системи",Операционни системи,"Използва се в оркестрация на контейнери, сървърни процеси и среди за внедряване."
"Уеб, мрежово инженерство и разпределени системи",Операционни системи,Използва се за настройване на параметрите на ядрото за уеб сървъри с висок трафик и конфигуриране на изолация на пространства от имена за внедряване.
"Уеб, мрежово инженерство и разпределени системи",Софтуерни архитектури,"Използва се в микросървиси, системи, управлявани от събития, и мащабируеми облачни архитектури."
"Уеб, мрежово инженерство и разпределени системи",Софтуерни архитектури,"Зает в прехода от монолити към микросървиси, проектирането на събития-управлявани системи (Kafka) и осигуряването на висока достъпност."
